,time,player,wood,food,gold,stone,vils,mils
390,9700,TheBooyash,108,114,87,86,0,0
394,9800,TheBooyash,109,115,88,87,0,0
398,9900,TheBooyash,110,116,89,88,0,0
402,10000,TheBooyash,112,118,90,89,0,0
406,10100,TheBooyash,113,119,90,89,0,0
410,10200,TheBooyash,114,120,91,90,0,0
414,10300,TheBooyash,115,121,92,91,0,0
418,10400,TheBooyash,116,122,93,92,0,0
422,10500,TheBooyash,117,123,94,93,0,0
426,10600,TheBooyash,118,125,95,94,0,0
430,10700,TheBooyash,119,126,96,95,0,0
434,10800,TheBooyash,120,127,97,96,0,0
438,10900,TheBooyash,122,128,98,97,0,0
442,11000,TheBooyash,123,129,99,97,0,0
446,11100,TheBooyash,124,130,99,98,0,0
450,11200,TheBooyash,125,132,100,99,0,0
454,11300,TheBooyash,126,133,101,100,0,0
458,11400,TheBooyash,127,134,102,101,0,0
462,11500,TheBooyash,128,135,103,102,0,0
466,11600,TheBooyash,129,136,104,103,0,0
470,11700,TheBooyash,131,138,105,104,0,0
474,11800,TheBooyash,132,139,106,105,0,0
478,11900,TheBooyash,133,140,107,105,0,0
482,12000,TheBooyash,134,141,108,106,0,0
486,12100,TheBooyash,135,142,108,107,0,0
490,12200,TheBooyash,136,143,109,108,0,0
494,12300,TheBooyash,137,145,110,109,0,0
498,12400,TheBooyash,138,146,111,110,0,0
502,12500,TheBooyash,140,147,112,111,0,0
506,12600,TheBooyash,141,148,113,112,0,0
510,12700,TheBooyash,142,149,114,113,0,0
514,12800,TheBooyash,143,151,115,113,0,0
518,12900,TheBooyash,144,152,116,114,0,0
522,13000,TheBooyash,145,153,117,115,0,0
526,13100,TheBooyash,146,154,117,116,0,0
530,13200,TheBooyash,147,155,118,117,0,0
534,13300,TheBooyash,148,156,119,118,0,0
538,13400,TheBooyash,150,158,120,119,0,0
542,13500,TheBooyash,151,159,121,120,0,0
546,13600,TheBooyash,152,160,122,121,0,0
550,13700,TheBooyash,153,161,123,121,0,0
554,13800,TheBooyash,154,162,124,122,0,0
558,13900,TheBooyash,155,164,125,123,0,0
562,14000,TheBooyash,156,165,126,124,0,0
566,14100,TheBooyash,157,166,126,125,0,0
570,14200,TheBooyash,159,167,127,126,0,0
574,14300,TheBooyash,160,168,128,127,0,0
578,14400,TheBooyash,161,169,129,128,0,0
582,14500,TheBooyash,162,171,130,129,0,0
586,14600,TheBooyash,163,172,131,129,0,0
590,14700,TheBooyash,164,173,132,130,0,0
594,14800,TheBooyash,165,174,133,131,0,0
598,14900,TheBooyash,166,175,134,132,0,0
602,15000,TheBooyash,168,177,135,133,0,0
606,15100,TheBooyash,169,178,135,134,0,0
610,15200,TheBooyash,170,179,136,135,0,0
614,15300,TheBooyash,171,180,137,136,0,0
618,15400,TheBooyash,172,181,138,137,0,0
622,15500,TheBooyash,173,182,139,137,0,0
626,15600,TheBooyash,174,184,140,138,0,0
630,15700,TheBooyash,175,185,141,139,0,0
634,15800,TheBooyash,176,186,142,140,0,0
638,15900,TheBooyash,178,187,143,141,0,0
642,16000,TheBooyash,179,188,144,142,0,0
646,16100,TheBooyash,180,189,144,143,0,0
650,16200,TheBooyash,181,191,145,144,0,0
654,16300,TheBooyash,182,192,146,145,0,0
658,16400,TheBooyash,183,193,147,145,0,0
662,16500,TheBooyash,184,194,148,146,0,0
666,16600,TheBooyash,185,195,149,147,0,0
670,16700,TheBooyash,187,197,150,148,0,0
674,16800,TheBooyash,188,198,151,149,0,0
678,16900,TheBooyash,189,199,152,150,0,0
682,17000,TheBooyash,190,200,153,151,0,0
686,17100,TheBooyash,191,201,153,152,0,0
690,17200,TheBooyash,192,202,154,153,0,0
694,17300,TheBooyash,193,204,155,153,0,0
698,17400,TheBooyash,194,205,156,154,0,0
702,17500,TheBooyash,196,206,157,155,0,0
706,17600,TheBooyash,197,207,158,156,0,0
710,17700,TheBooyash,198,208,159,157,0,0
714,17800,TheBooyash,199,210,160,158,0,0
718,17900,TheBooyash,200,211,161,159,0,0
722,18000,TheBooyash,201,212,162,160,0,0
726,18100,TheBooyash,202,213,162,161,0,0
730,18200,TheBooyash,203,214,163,161,0,0
734,18300,TheBooyash,204,215,164,162,0,0
738,18400,TheBooyash,206,217,165,163,0,0
742,18500,TheBooyash,207,218,166,164,0,0
746,18600,TheBooyash,208,219,167,165,0,0
750,18700,TheBooyash,209,220,168,166,0,0
754,18800,TheBooyash,210,221,169,167,0,0
758,18900,TheBooyash,211,223,170,168,0,0
762,19000,TheBooyash,212,224,171,169,0,0
766,19100,TheBooyash,213,225,171,169,0,0
770,19200,TheBooyash,215,226,172,170,0,0
774,19300,TheBooyash,216,227,173,171,0,0
778,19400,TheBooyash,217,228,174,172,0,0
782,19500,TheBooyash,218,230,175,173,0,0
786,19600,TheBooyash,219,231,176,174,0,0
790,19700,TheBooyash,220,232,177,175,0,0
794,19800,TheBooyash,221,233,178,176,0,0
798,19900,TheBooyash,222,234,179,177,0,0
802,20000,TheBooyash,224,236,180,178,0,1
806,20100,TheBooyash,225,237,180,178,0,1
810,20200,TheBooyash,226,238,181,179,0,1
814,20300,TheBooyash,227,239,182,180,0,1
818,20400,TheBooyash,228,240,183,181,0,1
822,20500,TheBooyash,229,241,184,182,0,1
826,20600,TheBooyash,230,243,185,183,0,1
830,20700,TheBooyash,231,244,186,184,0,1
834,20800,TheBooyash,232,245,187,185,0,1
838,20900,TheBooyash,234,246,188,186,0,1
842,21000,TheBooyash,235,247,189,186,0,1
846,21100,TheBooyash,236,248,189,187,0,1
850,21200,TheBooyash,237,250,190,188,0,1
854,21300,TheBooyash,238,251,191,189,0,1
858,21400,TheBooyash,239,252,192,190,0,1
862,21500,TheBooyash,240,253,193,191,0,1
866,21600,TheBooyash,241,254,194,192,0,1
870,21700,TheBooyash,243,256,195,193,0,1
874,21800,TheBooyash,244,257,196,194,0,1
878,21900,TheBooyash,245,258,197,194,0,1
882,22000,TheBooyash,246,259,198,195,0,1
886,22100,TheBooyash,247,260,198,196,0,1
890,22200,TheBooyash,248,261,199,197,0,1
894,22300,TheBooyash,249,263,200,198,0,1
898,22400,TheBooyash,250,264,201,199,0,1
902,22500,TheBooyash,252,265,202,200,0,1
906,22600,TheBooyash,253,266,203,201,0,1
910,22700,TheBooyash,254,267,204,202,0,1
914,22800,TheBooyash,255,269,205,202,0,1
918,22900,TheBooyash,256,270,206,203,0,1
922,23000,TheBooyash,257,271,207,204,0,1
926,23100,TheBooyash,258,272,207,205,0,1
930,23200,TheBooyash,259,273,208,206,0,1
934,23300,TheBooyash,260,274,209,207,0,1
938,23400,TheBooyash,262,276,210,208,0,1
942,23500,TheBooyash,263,277,211,209,0,1
946,23600,TheBooyash,264,278,212,210,0,1
950,23700,TheBooyash,265,279,213,210,0,1
954,23800,TheBooyash,266,280,214,211,0,1
958,23900,TheBooyash,267,282,215,212,0,1
962,24000,TheBooyash,268,283,216,213,0,1
966,24100,TheBooyash,269,284,216,214,0,1
970,24200,TheBooyash,271,285,217,215,0,1
974,24300,TheBooyash,272,286,218,216,0,1
978,24400,TheBooyash,273,287,219,217,0,1
982,24500,TheBooyash,274,289,220,218,0,1
986,24600,TheBooyash,275,290,221,218,0,1
990,24700,TheBooyash,276,291,222,219,0,1
994,24800,TheBooyash,277,292,223,220,0,1
998,24900,TheBooyash,278,293,224,221,0,1
1002,25000,TheBooyash,280,295,225,222,1,1
1006,25100,TheBooyash,281,296,225,223,1,1
1010,25200,TheBooyash,282,297,226,224,1,1
1014,25300,TheBooyash,283,298,227,225,1,1
1018,25400,TheBooyash,284,299,228,226,1,1
1022,25500,TheBooyash,285,300,229,226,1,1
1026,25600,TheBooyash,286,302,230,227,1,1
1030,25700,TheBooyash,287,303,231,228,1,1
1034,25800,TheBooyash,288,304,232,229,1,1
1038,25900,TheBooyash,290,305,233,230,1,1
1042,26000,TheBooyash,291,306,234,231,1,1
1046,26100,TheBooyash,292,307,234,232,1,1
1050,26200,TheBooyash,293,309,235,233,1,1
1054,26300,TheBooyash,294,310,236,234,1,1
1058,26400,TheBooyash,295,311,237,234,1,1
1062,26500,TheBooyash,296,312,238,235,1,1
1066,26600,TheBooyash,297,313,239,236,1,1
1070,26700,TheBooyash,299,315,240,237,1,1
1074,26800,TheBooyash,300,316,241,238,1,1
1078,26900,TheBooyash,301,317,242,239,1,1
1082,27000,TheBooyash,302,318,243,240,1,1
1086,27100,TheBooyash,303,319,243,241,1,1
1090,27200,TheBooyash,304,320,244,242,1,1
1094,27300,TheBooyash,305,322,245,242,1,1
1098,27400,TheBooyash,306,323,246,243,1,1
1102,27500,TheBooyash,308,324,247,244,1,1
1106,27600,TheBooyash,309,325,248,245,1,1
1110,27700,TheBooyash,310,326,249,246,1,1
1114,27800,TheBooyash,311,328,250,247,1,1
1118,27900,TheBooyash,312,329,251,248,1,1
1122,28000,TheBooyash,313,330,252,249,1,1
1126,28100,TheBooyash,314,331,252,250,1,1
1130,28200,TheBooyash,315,332,253,250,1,1
1134,28300,TheBooyash,316,333,254,251,1,1
1138,28400,TheBooyash,318,335,255,252,1,1
1142,28500,TheBooyash,319,336,256,253,1,1
1146,28600,TheBooyash,320,337,257,254,1,1
1150,28700,TheBooyash,321,338,258,255,1,1
1154,28800,TheBooyash,322,339,259,256,1,1
1158,28900,TheBooyash,323,341,260,257,1,1
1162,29000,TheBooyash,324,342,261,258,1,1
1166,29100,TheBooyash,325,343,261,258,1,1
1170,29200,TheBooyash,327,344,262,259,1,1
1174,29300,TheBooyash,328,345,263,260,1,1
1178,29400,TheBooyash,329,346,264,261,1,1
1182,29500,TheBooyash,330,348,265,262,1,1
1186,29600,TheBooyash,331,349,266,263,1,1
1190,29700,TheBooyash,332,350,267,264,1,1
1194,29800,TheBooyash,333,351,268,265,1,1
1198,29900,TheBooyash,334,352,269,266,1,1
1202,30000,TheBooyash,336,354,270,267,1,1
1206,30100,TheBooyash,337,355,270,267,1,1
1210,30200,TheBooyash,338,356,271,268,1,1
1214,30300,TheBooyash,339,357,272,269,1,1
1218,30400,TheBooyash,340,358,273,270,1,1
1222,30500,TheBooyash,341,359,274,271,1,1
1226,30600,TheBooyash,342,361,275,272,1,1
1230,30700,TheBooyash,343,362,276,273,1,1
1234,30800,TheBooyash,344,363,277,274,1,1
1238,30900,TheBooyash,346,364,278,275,1,1
1242,31000,TheBooyash,347,365,279,275,1,1
1246,31100,TheBooyash,348,366,279,276,1,1
1250,31200,TheBooyash,349,368,280,277,1,1
1254,31300,TheBooyash,350,369,281,278,1,1
1258,31400,TheBooyash,351,370,282,279,1,1
1262,31500,TheBooyash,352,371,283,280,1,1
1266,31600,TheBooyash,353,372,284,281,1,1
1270,31700,TheBooyash,355,374,285,282,1,1
1274,31800,TheBooyash,356,375,286,283,1,1
1278,31900,TheBooyash,357,376,287,283,1,1
1282,32000,TheBooyash,358,377,288,284,1,1
1286,32100,TheBooyash,359,378,288,285,1,1
1290,32200,TheBooyash,360,379,289,286,1,1
1294,32300,TheBooyash,361,381,290,287,1,1
1298,32400,TheBooyash,362,382,291,288,1,1
1302,32500,TheBooyash,364,383,292,289,1,1
1306,32600,TheBooyash,365,384,293,290,1,1
1310,32700,TheBooyash,366,385,294,291,1,1
1314,32800,TheBooyash,367,387,295,291,1,1
1318,32900,TheBooyash,368,388,296,292,1,1
1322,33000,TheBooyash,369,389,297,293,1,1
1326,33100,TheBooyash,370,390,297,294,1,1
1330,33200,TheBooyash,371,391,298,295,1,1
1334,33300,TheBooyash,372,392,299,296,1,1
1338,33400,TheBooyash,374,394,300,297,1,1
1342,33500,TheBooyash,375,395,301,298,1,1
1346,33600,TheBooyash,376,396,302,299,1,1
1350,33700,TheBooyash,377,397,303,299,1,1
1354,33800,TheBooyash,378,398,304,300,1,1
1358,33900,TheBooyash,379,400,305,301,1,1
1362,34000,TheBooyash,380,401,306,302,1,1
1366,34100,TheBooyash,381,402,306,303,1,1
1370,34200,TheBooyash,383,403,307,304,1,1
1374,34300,TheBooyash,384,404,308,305,1,1
1378,34400,TheBooyash,385,405,309,306,1,1
1382,34500,TheBooyash,386,407,310,307,1,1
1386,34600,TheBooyash,387,408,311,307,1,1
1390,34700,TheBooyash,388,409,312,308,1,1
1394,34800,TheBooyash,389,410,313,309,1,1
1398,34900,TheBooyash,390,411,314,310,1,1
1402,35000,TheBooyash,392,413,315,311,1,1
1406,35100,TheBooyash,393,414,315,312,1,1
1410,35200,TheBooyash,394,415,316,313,1,1
1414,35300,TheBooyash,395,416,317,314,1,1
1418,35400,TheBooyash,396,417,318,315,1,1
1422,35500,TheBooyash,397,418,319,315,1,1
1426,35600,TheBooyash,398,420,320,316,1,1
1430,35700,TheBooyash,399,421,321,317,1,1
1434,35800,TheBooyash,400,422,322,318,1,1
1438,35900,TheBooyash,402,423,323,319,1,1
1442,36000,TheBooyash,403,424,324,320,1,1
1446,36100,TheBooyash,404,425,324,321,1,1
1450,36200,TheBooyash,405,427,325,322,1,1
1454,36300,TheBooyash,406,428,326,323,1,1
1458,36400,TheBooyash,407,429,327,323,1,1
1462,36500,TheBooyash,408,430,328,324,1,1
1466,36600,TheBooyash,409,431,329,325,1,1
1470,36700,TheBooyash,411,433,330,326,1,1
1474,36800,TheBooyash,412,434,331,327,1,1
1478,36900,TheBooyash,413,435,332,328,1,1
1482,37000,TheBooyash,414,436,333,329,1,1
1486,37100,TheBooyash,415,437,333,330,1,1
1490,37200,TheBooyash,416,438,334,331,1,1
1494,37300,TheBooyash,417,440,335,331,1,1
1498,37400,TheBooyash,418,441,336,332,1,1
1502,37500,TheBooyash,420,442,337,333,1,1
1506,37600,TheBooyash,421,443,338,334,1,1
1510,37700,TheBooyash,422,444,339,335,1,1
1514,37800,TheBooyash,423,446,340,336,1,1
1518,37900,TheBooyash,424,447,341,337,1,1
1522,38000,TheBooyash,425,448,342,338,1,1
1526,38100,TheBooyash,426,449,342,339,1,1
1530,38200,TheBooyash,427,450,343,339,1,1
1534,38300,TheBooyash,428,451,344,340,1,1
1538,38400,TheBooyash,430,453,345,341,1,1
1542,38500,TheBooyash,431,454,346,342,1,1
1546,38600,TheBooyash,432,455,347,343,1,1
1550,38700,TheBooyash,433,456,348,344,1,1
1554,38800,TheBooyash,434,457,349,345,1,1
1558,38900,TheBooyash,435,459,350,346,1,1
1562,39000,TheBooyash,436,460,351,347,1,1
1566,39100,TheBooyash,437,461,351,347,1,1
1570,39200,TheBooyash,439,462,352,348,1,1
1574,39300,TheBooyash,440,463,353,349,1,1
1578,39400,TheBooyash,441,464,354,350,1,1
1582,39500,TheBooyash,442,466,355,351,1,1
1586,39600,TheBooyash,443,467,356,352,1,1
1590,39700,TheBooyash,444,468,357,353,1,1
1594,39800,TheBooyash,445,469,358,354,1,1
1598,39900,TheBooyash,446,470,359,355,1,1
1602,40000,TheBooyash,448,472,360,356,1,2
1606,40100,TheBooyash,449,473,360,356,1,2
1610,40200,TheBooyash,450,474,361,357,1,2
1614,40300,TheBooyash,451,475,362,358,1,2
1618,40400,TheBooyash,452,476,363,359,1,2
1622,40500,TheBooyash,453,477,364,360,1,2
1626,40600,TheBooyash,454,479,365,361,1,2
1630,40700,TheBooyash,455,480,366,362,1,2
1634,40800,TheBooyash,456,481,367,363,1,2
1638,40900,TheBooyash,458,482,368,364,1,2
1642,41000,TheBooyash,459,483,369,364,1,2
1646,41100,TheBooyash,460,484,369,365,1,2
1650,41200,TheBooyash,461,486,370,366,1,2
1654,41300,TheBooyash,462,487,371,367,1,2
1658,41400,TheBooyash,463,488,372,368,1,2
1662,41500,TheBooyash,464,489,373,369,1,2
1666,41600,TheBooyash,465,490,374,370,1,2
1670,41700,TheBooyash,467,492,375,371,1,2
1674,41800,TheBooyash,468,493,376,372,1,2
1678,41900,TheBooyash,469,494,377,372,1,2
1682,42000,TheBooyash,470,495,378,373,1,2
1686,42100,TheBooyash,471,496,378,374,1,2
1690,42200,TheBooyash,472,497,379,375,1,2
1694,42300,TheBooyash,473,499,380,376,1,2
1698,42400,TheBooyash,474,500,381,377,1,2
1702,42500,TheBooyash,476,501,382,378,1,2
1706,42600,TheBooyash,477,502,383,379,1,2
1710,42700,TheBooyash,478,503,384,380,1,2
1714,42800,TheBooyash,479,505,385,380,1,2
1718,42900,TheBooyash,480,506,386,381,1,2
1722,43000,TheBooyash,481,507,387,382,1,2
1726,43100,TheBooyash,482,508,387,383,1,2
1730,43200,TheBooyash,483,509,388,384,1,2
1734,43300,TheBooyash,484,510,389,385,1,2
1738,43400,TheBooyash,486,512,390,386,1,2
1742,43500,TheBooyash,487,513,391,387,1,2
1746,43600,TheBooyash,488,514,392,388,1,2
1750,43700,TheBooyash,489,515,393,388,1,2
1754,43800,TheBooyash,490,516,394,389,1,2
1758,43900,TheBooyash,491,518,395,390,1,2
1762,44000,TheBooyash,492,519,396,391,1,2
1766,44100,TheBooyash,493,520,396,392,1,2
1770,44200,TheBooyash,495,521,397,393,1,2
1774,44300,TheBooyash,496,522,398,394,1,2
1778,44400,TheBooyash,497,523,399,395,1,2
1782,44500,TheBooyash,498,525,400,396,1,2
1786,44600,TheBooyash,499,526,401,396,1,2
1790,44700,TheBooyash,500,527,402,397,1,2
1794,44800,TheBooyash,501,528,403,398,1,2
1798,44900,TheBooyash,502,529,404,399,1,2
1802,45000,TheBooyash,504,531,405,400,1,2
1806,45100,TheBooyash,505,532,405,401,1,2
1810,45200,TheBooyash,506,533,406,402,1,2
1814,45300,TheBooyash,507,534,407,403,1,2
1818,45400,TheBooyash,508,535,408,404,1,2
1822,45500,TheBooyash,509,536,409,404,1,2
1826,45600,TheBooyash,510,538,410,405,1,2
1830,45700,TheBooyash,511,539,411,406,1,2
1834,45800,TheBooyash,512,540,412,407,1,2
1838,45900,TheBooyash,514,541,413,408,1,2
1842,46000,TheBooyash,515,542,414,409,1,2
1846,46100,TheBooyash,516,543,414,410,1,2
1850,46200,TheBooyash,517,545,415,411,1,2
1854,46300,TheBooyash,518,546,416,412,1,2
1858,46400,TheBooyash,519,547,417,412,1,2
1862,46500,TheBooyash,520,548,418,413,1,2
1866,46600,TheBooyash,521,549,419,414,1,2
1870,46700,TheBooyash,523,551,420,415,1,2
1874,46800,TheBooyash,524,552,421,416,1,2
1878,46900,TheBooyash,525,553,422,417,1,2
1882,47000,TheBooyash,526,554,423,418,1,2
1886,47100,TheBooyash,527,555,423,419,1,2
1890,47200,TheBooyash,528,556,424,420,1,2
1894,47300,TheBooyash,529,558,425,420,1,2
1898,47400,TheBooyash,530,559,426,421,1,2
1902,47500,TheBooyash,532,560,427,422,1,2
1906,47600,TheBooyash,533,561,428,423,1,2
1910,47700,TheBooyash,534,562,429,424,1,2
1914,47800,TheBooyash,535,564,430,425,1,2
1918,47900,TheBooyash,536,565,431,426,1,2
1922,48000,TheBooyash,537,566,432,427,1,2
1926,48100,TheBooyash,538,567,432,428,1,2
1930,48200,TheBooyash,539,568,433,428,1,2
1934,48300,TheBooyash,540,569,434,429,1,2
1938,48400,TheBooyash,542,571,435,430,1,2
1942,48500,TheBooyash,543,572,436,431,1,2
1946,48600,TheBooyash,544,573,437,432,1,2
1950,48700,TheBooyash,545,574,438,433,1,2
1954,48800,TheBooyash,546,575,439,434,1,2
1958,48900,TheBooyash,547,577,440,435,1,2
1962,49000,TheBooyash,548,578,441,436,1,2
1966,49100,TheBooyash,549,579,441,436,1,2
1970,49200,TheBooyash,551,580,442,437,1,2
1974,49300,TheBooyash,552,581,443,438,1,2
1978,49400,TheBooyash,553,582,444,439,1,2
1982,49500,TheBooyash,554,584,445,440,1,2
1986,49600,TheBooyash,555,585,446,441,1,2
1990,49700,TheBooyash,556,586,447,442,1,2
1994,49800,TheBooyash,557,587,448,443,1,2
1998,49900,TheBooyash,558,588,449,444,1,2
2002,50000,TheBooyash,560,590,450,445,2,2
2006,50100,TheBooyash,561,591,450,445,2,2
2010,50200,TheBooyash,562,592,451,446,2,2
2014,50300,TheBooyash,563,593,452,447,2,2
2018,50400,TheBooyash,564,594,453,448,2,2
2022,50500,TheBooyash,565,595,454,449,2,2
2026,50600,TheBooyash,566,597,455,450,2,2
2030,50700,TheBooyash,567,598,456,451,2,2
2034,50800,TheBooyash,568,599,457,452,2,2
2038,50900,TheBooyash,570,600,458,453,2,2
2042,51000,TheBooyash,571,601,459,453,2,2
2046,51100,TheBooyash,572,602,459,454,2,2
2050,51200,TheBooyash,573,604,460,455,2,2
2054,51300,TheBooyash,574,605,461,456,2,2
2058,51400,TheBooyash,575,606,462,457,2,2
2062,51500,TheBooyash,576,607,463,458,2,2
2066,51600,TheBooyash,577,608,464,459,2,2
2070,51700,TheBooyash,579,610,465,460,2,2
2074,51800,TheBooyash,580,611,466,461,2,2
2078,51900,TheBooyash,581,612,467,461,2,2
2082,52000,TheBooyash,582,613,468,462,2,2
2086,52100,TheBooyash,583,614,468,463,2,2
2090,52200,TheBooyash,584,615,469,464,2,2
2094,52300,TheBooyash,585,617,470,465,2,2
2098,52400,TheBooyash,586,618,471,466,2,2
2102,52500,TheBooyash,588,619,472,467,2,2
2106,52600,TheBooyash,589,620,473,468,2,2
2110,52700,TheBooyash,590,621,474,469,2,2
2114,52800,TheBooyash,591,623,475,469,2,2
2118,52900,TheBooyash,592,624,476,470,2,2
2122,53000,TheBooyash,593,625,477,471,2,2
2126,53100,TheBooyash,594,626,477,472,2,2
2130,53200,TheBooyash,595,627,478,473,2,2
2134,53300,TheBooyash,596,628,479,474,2,2
2138,53400,TheBooyash,598,630,480,475,2,2
2142,53500,TheBooyash,599,631,481,476,2,2
2146,53600,TheBooyash,600,632,482,477,2,2
2150,53700,TheBooyash,601,633,483,477,2,2
2154,53800,TheBooyash,602,634,484,478,2,2
2158,53900,TheBooyash,603,636,485,479,2,2
2162,54000,TheBooyash,604,637,486,480,2,2
2166,54100,TheBooyash,605,638,486,481,2,2
2170,54200,TheBooyash,607,639,487,482,2,2
2174,54300,TheBooyash,608,640,488,483,2,2
2178,54400,TheBooyash,609,641,489,484,2,2
2182,54500,TheBooyash,610,643,490,485,2,2
2186,54600,TheBooyash,611,644,491,485,2,2
2190,54700,TheBooyash,612,645,492,486,2,2
2194,54800,TheBooyash,613,646,493,487,2,2
2198,54900,TheBooyash,614,647,494,488,2,2
2202,55000,TheBooyash,616,649,495,489,2,2
2206,55100,TheBooyash,617,650,495,490,2,2
2210,55200,TheBooyash,618,651,496,491,2,2
2214,55300,TheBooyash,619,652,497,492,2,2
2218,55400,TheBooyash,620,653,498,493,2,2
2222,55500,TheBooyash,621,654,499,493,2,2
2226,55600,TheBooyash,622,656,500,494,2,2
2230,55700,TheBooyash,623,657,501,495,2,2
2234,55800,TheBooyash,624,658,502,496,2,2
2238,55900,TheBooyash,626,659,503,497,2,2
2242,56000,TheBooyash,627,660,504,498,2,2
2246,56100,TheBooyash,628,661,504,499,2,2
2250,56200,TheBooyash,629,663,505,500,2,2
2254,56300,TheBooyash,630,664,506,501,2,2
2258,56400,TheBooyash,631,665,507,501,2,2
2262,56500,TheBooyash,632,666,508,502,2,2
2266,56600,TheBooyash,633,667,509,503,2,2
2270,56700,TheBooyash,635,669,510,504,2,2
